shifted,remaining,in_week
6.509699074,2.739665191,6.801365741
6.51324074,2.656645033,6.804907407
6.514606481,2.573624876,6.806273148
6.518900463,2.490604719,6.81056713
6.519884259,2.407584562,6.811550926
6.520196759,2.324564404,6.811863426
6.542962963,2.241544247,6.83462963
6.549594907,2.15852409,6.841261574
6.55162037,2.075503932,6.843287037
6.556273148,1.992483775,6.847939815
6.557199074,1.909463618,6.848865741
6.558703703,1.82644346,6.85037037
6.563090277,1.743423303,6.854756944
6.567442129,1.660403146,6.859108796
6.56943287,1.577382989,6.861099537
6.571736111,1.494362831,6.863402778
6.577037037,1.411342674,6.868703704
6.581435185,1.328322517,6.873101852
6.589988426,1.245302359,6.881655093
6.610231481,1.162282202,6.901898148
6.662106481,1.079262045,6.953773148
6.771851852,0.996241888,0.063518519
6.798657407,0.91322173,0.090324074
6.849907407,0.830201573,0.141574074
6.893576389,0.747181416,0.185243056
6.900023148,0.664161258,0.191689815
6.909212963,0.581141101,0.20087963
6.913796296,0.498120944,0.205462963
6.915231481,0.415100786,0.206898148
6.929259259,0.332080629,0.220925926
6.943761574,0.249060472,0.235428241
6.950555555,0.166040315,0.242222222
6.977418981,0.083020157,0.269085648
